id,club
C0,Alavés
C1,Albacete
C2,Athletic
C3,Atlético Madrid
C4,CA Osasuna
C5,CD Leganés
C6,CD Numancia
C7,CD Tenerife
C8,Cádiz CF
C9,Córdoba CF
C10,Elche CF
C11,FC Barcelona
C12,Getafe CF
C13,Gimnàstic
C14,Girona FC
C15,Granada CF
C16,Hércules CF
C17,Levante UD
C18,Málaga CF
C19,RC Celta
C20,RC Deportivo
C21,RCD Espanyol
C22,RCD Mallorca
C23,Racing
C24,Rayo Vallecano
C25,Real Betis
C26,Real Madrid
C27,Real Murcia
C28,Real Oviedo
C29,Real Sociedad
C30,Real Sporting
C31,Real Valladolid
C32,Real Zaragoza
C33,Recreativo
C34,SD Eibar
C35,SD Huesca
C36,Sevilla FC
C37,UD Almería
C38,UD Las Palmas
C39,Valencia CF
C40,Villarreal CF
C41,Xerez CD
