idTemporada,#,club,idClub,partidos,ganados,empatados,perdidos,golesAFavor,golesEnContra,+/-,porcentajeVictorias,porcentajeDerrotas,puntos
T0,1,RC Deportivo,C20,38,21,6,11,66,44,22,55.26315789473685,28.947368421052634,69
T0,2,FC Barcelona,C11,38,19,7,12,70,46,24,50.0,31.57894736842105,64
T0,3,Valencia CF,C39,38,18,10,10,59,39,20,47.368421052631575,26.31578947368421,64
T0,4,Real Zaragoza,C32,38,16,15,7,60,40,20,42.10526315789473,18.421052631578945,63
T0,5,Real Madrid,C26,38,16,14,8,58,48,10,42.10526315789473,21.052631578947366,62
T0,6,Alavés,C0,38,17,10,11,41,37,4,44.73684210526316,28.947368421052634,61
T0,7,RC Celta,C19,38,15,8,15,45,43,2,39.473684210526315,39.473684210526315,53
T0,8,Real Valladolid,C31,38,14,11,13,36,44,-8,36.84210526315789,34.21052631578947,53
T0,9,Rayo Vallecano,C24,38,15,7,16,51,53,-2,39.473684210526315,42.10526315789473,52
T0,10,RCD Mallorca,C22,38,14,9,15,52,45,7,36.84210526315789,39.473684210526315,51
T0,11,Athletic,C2,38,12,14,12,47,57,-10,31.57894736842105,31.57894736842105,50
T0,12,Málaga CF,C18,38,11,15,12,55,50,5,28.947368421052634,31.57894736842105,48
T0,13,Real Sociedad,C29,38,11,14,13,42,49,-7,28.947368421052634,34.21052631578947,47
T0,14,RCD Espanyol,C21,38,12,11,15,51,48,3,31.57894736842105,39.473684210526315,47
T0,15,Racing,C23,38,10,16,12,52,50,2,26.31578947368421,31.57894736842105,46
T0,16,Real Oviedo,C28,38,11,12,15,44,60,-16,28.947368421052634,39.473684210526315,45
T0,17,CD Numancia,C6,38,11,12,15,47,59,-12,28.947368421052634,39.473684210526315,45
T0,18,Real Betis,C25,38,11,9,18,33,56,-23,28.947368421052634,47.368421052631575,42
T0,19,Atlético Madrid,C3,38,9,11,18,48,64,-16,23.684210526315788,47.368421052631575,38
T0,20,Sevilla FC,C36,38,5,13,20,42,67,-25,13.157894736842104,52.63157894736842,28
T1,1,Real Madrid,C26,38,24,8,6,81,40,41,63.1578947368421,15.789473684210526,80
T1,2,RC Deportivo,C20,38,22,7,9,73,44,29,57.89473684210527,23.684210526315788,73
T1,3,RCD Mallorca,C22,38,20,11,7,61,43,18,52.63157894736842,18.421052631578945,71
T1,4,FC Barcelona,C11,38,17,12,9,80,57,23,44.73684210526316,23.684210526315788,63
T1,5,Valencia CF,C39,38,18,9,11,55,34,21,47.368421052631575,28.947368421052634,63
T1,6,RC Celta,C19,38,16,11,11,51,49,2,42.10526315789473,28.947368421052634,59
T1,7,Villarreal CF,C40,38,16,9,13,58,52,6,42.10526315789473,34.21052631578947,57
T1,8,Málaga CF,C18,38,16,8,14,60,61,-1,42.10526315789473,36.84210526315789,56
T1,9,RCD Espanyol,C21,38,14,8,16,46,44,2,36.84210526315789,42.10526315789473,50
T1,10,Alavés,C0,38,14,7,17,58,59,-1,36.84210526315789,44.73684210526316,49
T1,11,UD Las Palmas,C38,38,13,7,18,42,62,-20,34.21052631578947,47.368421052631575,46
T1,12,Athletic,C2,38,11,10,17,44,60,-16,28.947368421052634,44.73684210526316,43
T1,13,Real Sociedad,C29,38,11,10,17,52,68,-16,28.947368421052634,44.73684210526316,43
T1,14,Rayo Vallecano,C24,38,10,13,15,56,68,-12,26.31578947368421,39.473684210526315,43
T1,15,CA Osasuna,C4,38,10,12,16,43,54,-11,26.31578947368421,42.10526315789473,42
T1,16,Real Valladolid,C31,38,9,15,14,42,50,-8,23.684210526315788,36.84210526315789,42
T1,17,Real Zaragoza,C32,38,9,15,14,54,57,-3,23.684210526315788,36.84210526315789,42
T1,18,Real Oviedo,C28,38,11,8,19,51,67,-16,28.947368421052634,50.0,41
T1,19,Racing,C23,38,10,9,19,48,62,-14,26.31578947368421,50.0,39
T1,20,CD Numancia,C6,38,10,9,19,40,64,-24,26.31578947368421,50.0,39
T2,1,Valencia CF,C39,38,21,12,5,51,27,24,55.26315789473685,13.157894736842104,75
T2,2,RC Deportivo,C20,38,20,8,10,65,41,24,52.63157894736842,26.31578947368421,68
T2,3,Real Madrid,C26,38,19,9,10,69,44,25,50.0,26.31578947368421,66
T2,4,FC Barcelona,C11,38,18,10,10,65,37,28,47.368421052631575,26.31578947368421,64
T2,5,RC Celta,C19,38,16,12,10,64,46,18,42.10526315789473,26.31578947368421,60
T2,6,Real Betis,C25,38,15,14,9,42,34,8,39.473684210526315,23.684210526315788,59
T2,7,Alavés,C0,38,17,3,18,41,44,-3,44.73684210526316,47.368421052631575,54
T2,8,Sevilla FC,C36,38,14,11,13,51,40,11,36.84210526315789,34.21052631578947,53
T2,9,Athletic,C2,38,14,11,13,54,66,-12,36.84210526315789,34.21052631578947,53
T2,10,Málaga CF,C18,38,13,14,11,44,44,0,34.21052631578947,28.947368421052634,53
T2,11,Rayo Vallecano,C24,38,13,10,15,46,52,-6,34.21052631578947,39.473684210526315,49
T2,12,Real Valladolid,C31,38,13,9,16,45,58,-13,34.21052631578947,42.10526315789473,48
T2,13,Real Sociedad,C29,38,13,8,17,48,54,-6,34.21052631578947,44.73684210526316,47
T2,14,RCD Espanyol,C21,38,13,8,17,47,56,-9,34.21052631578947,44.73684210526316,47
T2,15,Villarreal CF,C40,38,11,10,17,46,55,-9,28.947368421052634,44.73684210526316,43
T2,16,RCD Mallorca,C22,38,11,10,17,40,52,-12,28.947368421052634,44.73684210526316,43
T2,17,CA Osasuna,C4,38,10,12,16,36,49,-13,26.31578947368421,42.10526315789473,42
T2,18,UD Las Palmas,C38,38,9,13,16,40,50,-10,23.684210526315788,42.10526315789473,40
T2,19,CD Tenerife,C7,38,10,8,20,32,58,-26,26.31578947368421,52.63157894736842,38
