idTemporada,#,nombre,posición,nacionalidad,club,idClub,partidosJugados,asistencias,penales,minutosJugados,minutosPorGol,golesPorPartido,goles
T0,1,Salva Ballesta,Delantero centro,España,Racing,C23,36,3,11,3034.0,112.0,75.0,27.0
T0,2,Jimmy Floyd Hasselbaink,Delantero centro,Países Bajos,Atlético Madrid,C3,34,1,4,3052.0,127.0,71.0,24.0
T0,3,Catanha,Delantero centro,España,Málaga CF,C18,33,1,3,2871.0,120.0,73.0,24.0
T0,4,Roy Makaay,Delantero centro,Países Bajos,RC Deportivo,C20,36,1,0,2808.0,128.0,61.0,22.0
T0,5,Savo Milošević,Delantero centro,Serbia,Real Zaragoza,C32,37,3,2,3253.0,155.0,57.0,21.0
T0,6,Diego Tristán,Delantero centro,España,RCD Mallorca,C22,35,2,3,2771.0,154.0,51.0,18.0
T0,7,Raúl,Mediapunta,España,Real Madrid,C26,34,8,2,2884.0,170.0,50.0,17.0
T0,8,Patrick Kluivert,Delantero centro,Países Bajos,FC Barcelona,C11,26,8,2,2049.0,137.0,58.0,15.0
T0,9,Gaizka Mendieta,Interior derecho,España,Valencia CF,C39,33,7,6,2712.0,209.0,39.0,13.0
T0,10,Víctor Fernández,Delantero centro,España,Real Valladolid,C31,34,0,1,2931.0,225.0,38.0,13.0
T1,1,Raúl,Mediapunta,España,Real Madrid,C26,36,3,0,3110.0,130.0,67.0,24.0
T1,2,Rivaldo,Mediocentro ofensivo,Brasil,FC Barcelona,C11,35,10,5,2990.0,130.0,66.0,23.0
T1,3,Javi Moreno,Delantero centro,España,Alavés,C0,34,5,7,2687.0,122.0,65.0,22.0
T1,4,Diego Tristán,Delantero centro,España,RC Deportivo,C20,29,1,2,1831.0,96.0,66.0,19.0
T1,5,Patrick Kluivert,Delantero centro,Países Bajos,FC Barcelona,C11,31,6,0,2568.0,143.0,58.0,18.0
T1,6,Julio Dely Valdés,Delantero centro,Panamá,Málaga CF,C18,34,2,1,2977.0,175.0,50.0,17.0
T1,7,Roy Makaay,Delantero centro,Países Bajos,RC Deportivo,C20,29,3,0,1915.0,120.0,55.0,16.0
T1,8,Catanha,Delantero centro,España,RC Celta,C19,36,1,0,2913.0,182.0,44.0,16.0
T1,9,Oli,Delantero centro,España,Real Oviedo,C28,37,4,0,3112.0,207.0,41.0,15.0
T1,10,Guti,Mediocentro,España,Real Madrid,C26,32,5,0,1854.0,132.0,44.0,14.0
T2,1,Diego Tristán,Delantero centro,España,RC Deportivo,C20,34,5,2,2088.0,99.0,62.0,21.0
T2,2,Patrick Kluivert,Delantero centro,Países Bajos,FC Barcelona,C11,33,11,3,2756.0,153.0,55.0,18.0
T2,3,Fernando Morientes,Delantero centro,España,Real Madrid,C26,33,4,0,2135.0,119.0,55.0,18.0
T2,4,Javier Saviola,Mediapunta,Argentina,FC Barcelona,C11,36,9,0,2564.0,151.0,47.0,17.0
T2,5,Catanha,Delantero centro,España,RC Celta,C19,38,4,1,3005.0,177.0,45.0,17.0
T2,6,Raúl Tamudo,Delantero centro,España,RCD Espanyol,C21,35,1,4,2972.0,175.0,49.0,17.0
T2,7,Ismael Urzaiz,Delantero centro,España,Athletic,C2,36,9,1,2876.0,180.0,44.0,16.0
T2,8,Fernando,Mediocentro ofensivo,España,Real Valladolid,C31,32,2,4,2629.0,175.0,47.0,15.0
T2,9,Raúl,Mediapunta,España,Real Madrid,C26,35,10,0,3086.0,220.0,40.0,14.0
T2,10,Víctor Fernández,Delantero centro,España,Villarreal CF,C40,33,7,4,2786.0,199.0,42.0,14.0
T3,1,Roy Makaay,Delantero centro,Países Bajos,RC Deportivo,C20,38,4,3,3217.0,111.0,76.0,29.0
T3,2,Nihat Kahveci,Delantero centro,Turquía,Real Sociedad,C29,35,5,0,2987.0,130.0,66.0,23.0
T3,3,Ronaldo,Delantero centro,Brasil,Real Madrid,C26,31,5,0,2407.0,105.0,74.0,23.0
T3,4,Darko Kovačević,Delantero centro,Serbia,Real Sociedad,C29,36,9,1,3020.0,151.0,56.0,20.0
T3,5,Raúl,Mediapunta,España,Real Madrid,C26,31,12,0,2684.0,168.0,52.0,16.0
T3,6,Patrick Kluivert,Delantero centro,Países Bajos,FC Barcelona,C11,36,9,1,3131.0,196.0,44.0,16.0
